epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,1868.03,2.52793,3.13885,2.051,0.31416,0.27713,0.21301,0.07776,2.91987,3.19038,1.90779,0.0087328,0.0087328,0.0087328
130,1882.42,2.48908,3.1134,2.07378,0.27124,0.26199,0.19215,0.06355,2.91068,3.00375,1.90933,0.0087229,0.0087229,0.0087229
131,1896.75,2.56965,3.13557,2.06744,0.32133,0.30029,0.2015,0.06575,2.93262,2.93014,1.91831,0.008713,0.008713,0.008713
132,1911.06,2.52039,3.12066,2.06969,0.33274,0.36764,0.21276,0.0702,2.94885,3.02777,1.92125,0.0087031,0.0087031,0.0087031
133,1925.44,2.51544,3.10996,2.06387,0.17879,0.26024,0.18608,0.06573,2.94044,3.06633,1.91211,0.0086932,0.0086932,0.0086932
134,1939.83,2.5275,3.07931,2.05538,0.31873,0.31632,0.20012,0.07197,2.95337,3.02175,1.91545,0.0086833,0.0086833,0.0086833
135,1954.21,2.54786,3.08317,2.09032,0.39364,0.22995,0.21449,0.08312,2.88835,2.94098,1.91339,0.0086734,0.0086734,0.0086734
136,1968.64,2.50155,3.07267,2.06752,0.2422,0.28334,0.19993,0.07804,2.88657,2.95252,1.90741,0.0086635,0.0086635,0.0086635
137,1983.1,2.45705,2.96895,2.0411,0.36738,0.30063,0.2374,0.08315,2.85095,2.85758,1.87752,0.0086536,0.0086536,0.0086536
138,1997.82,2.49084,3.05418,2.05572,0.20339,0.29787,0.22313,0.07491,2.89651,2.94331,1.91593,0.0086437,0.0086437,0.0086437
139,2012.29,2.49662,3.08552,2.00606,0.26838,0.25613,0.20428,0.07684,2.88689,2.91048,1.89639,0.0086338,0.0086338,0.0086338
140,2026.68,2.52942,3.04869,2.01924,0.26961,0.25245,0.2237,0.07898,2.89197,2.90896,1.91132,0.0086239,0.0086239,0.0086239
141,2041.09,2.45936,2.95723,1.99128,0.38167,0.2393,0.23385,0.09101,2.88105,2.92626,1.88112,0.008614,0.008614,0.008614
142,2055.48,2.44557,2.97185,2.0428,0.21386,0.27883,0.21552,0.07926,2.84682,2.8906,1.86402,0.0086041,0.0086041,0.0086041
143,2069.9,2.47933,2.94789,2.01556,0.19636,0.23984,0.21444,0.07653,2.91158,2.94915,1.91276,0.0085942,0.0085942,0.0085942
144,2084.27,2.48447,3.04857,2.01411,0.24934,0.35673,0.24417,0.086,2.91582,2.93019,1.89571,0.0085843,0.0085843,0.0085843
145,2098.62,2.43465,2.95937,1.99851,0.22263,0.33237,0.21812,0.0804,2.93537,2.93655,1.90733,0.0085744,0.0085744,0.0085744
146,2113.03,2.42764,2.95518,2.01258,0.20149,0.35138,0.22115,0.0731,2.905,2.91552,1.89325,0.0085645,0.0085645,0.0085645
147,2127.42,2.47569,3.05105,2.01699,0.25082,0.27027,0.21621,0.07584,2.91077,2.91385,1.9137,0.0085546,0.0085546,0.0085546
